ID,Title,Description
383,Spotify for music,This project is similar to spotify for music ? designed for entertainment related services.
384,BlaBlaCar for ridesharing,This project is similar to blablacar for ridesharing ? designed for transport related services.
385,Cure.fit for wellness,This project is similar to cure.fit for wellness ? designed for healthcare related services.
386,Shopify for stores,This project is similar to shopify for stores ? designed for e-commerce related services.
387,Deliveroo for takeaways,This project is similar to deliveroo for takeaways ? designed for food delivery related services.
388,Myntra for fashion,This project is similar to myntra for fashion ? designed for e-commerce related services.
389,Cure.fit for wellness,This project is similar to cure.fit for wellness ? designed for healthcare related services.
390,Gaana for songs,This project is similar to gaana for songs ? designed for entertainment related services.
391,Shopify for stores,This project is similar to shopify for stores ? designed for e-commerce related services.
392,Khan Academy for education,This project is similar to khan academy for education ? designed for education related services.
393,Cure.fit for wellness,This project is similar to cure.fit for wellness ? designed for healthcare related services.
394,Lyft for commuting,This project is similar to lyft for commuting ? designed for transport related services.
395,Hotstar for streaming,This project is similar to hotstar for streaming ? designed for entertainment related services.
396,Lyft for commuting,This project is similar to lyft for commuting ? designed for transport related services.
397,Practo for doctors,This project is similar to practo for doctors ? designed for healthcare related services.
398,Unacademy for classes,This project is similar to unacademy for classes ? designed for education related services.
399,Zocdoc for appointments,This project is similar to zocdoc for appointments ? designed for healthcare related services.
400,Shopify for stores,This project is similar to shopify for stores ? designed for e-commerce related services.
401,Zocdoc for appointments,This project is similar to zocdoc for appointments ? designed for healthcare related services.
402,Glassdoor for companies,This project is similar to glassdoor for companies ? designed for job portals related services.
403,Naukri for jobs,This project is similar to naukri for jobs ? designed for job portals related services.
404,Gaana for songs,This project is similar to gaana for songs ? designed for entertainment related services.
405,Ola for taxis,This project is similar to ola for taxis ? designed for transport related services.
406,Shopify for stores,This project is similar to shopify for stores ? designed for e-commerce related services.
407,1mg for medicines,This project is similar to 1mg for medicines ? designed for healthcare related services.
408,Unacademy for classes,This project is similar to unacademy for classes ? designed for education related services.
409,Amazon for shopping,This project is similar to amazon for shopping ? designed for e-commerce related services.
410,Spotify for music,This project is similar to spotify for music ? designed for entertainment related services.
411,Deliveroo for takeaways,This project is similar to deliveroo for takeaways ? designed for food delivery related services.
412,Rapido for bikes,This project is similar to rapido for bikes ? designed for transport related services.
413,Practo for doctors,This project is similar to practo for doctors ? designed for healthcare related services.
414,Udemy for learning,This project is similar to udemy for learning ? designed for education related services.
415,Cure.fit for wellness,This project is similar to cure.fit for wellness ? designed for healthcare related services.
416,Monster for careers,This project is similar to monster for careers ? designed for job portals related services.
417,Grubhub for dishes,This project is similar to grubhub for dishes ? designed for food delivery related services.
418,Monster for careers,This project is similar to monster for careers ? designed for job portals related services.
419,Byju?s for students,This project is similar to byju?s for students ? designed for education related services.
420,Flipkart for deals,This project is similar to flipkart for deals ? designed for e-commerce related services.
421,Uber for cars,This project is similar to uber for cars ? designed for transport related services.
422,Uber for cars,This project is similar to uber for cars ? designed for transport related services.
423,Practo for doctors,This project is similar to practo for doctors ? designed for healthcare related services.
424,Zomato for meals,This project is similar to zomato for meals ? designed for food delivery related services.
425,Flipkart for deals,This project is similar to flipkart for deals ? designed for e-commerce related services.
426,YouTube for videos,This project is similar to youtube for videos ? designed for entertainment related services.
427,Swiggy for food,This project is similar to swiggy for food ? designed for food delivery related services.
428,Rapido for bikes,This project is similar to rapido for bikes ? designed for transport related services.
429,Shopify for stores,This project is similar to shopify for stores ? designed for e-commerce related services.
430,Gaana for songs,This project is similar to gaana for songs ? designed for entertainment related services.
431,DoorDash for restaurants,This project is similar to doordash for restaurants ? designed for food delivery related services.
432,Monster for careers,This project is similar to monster for careers ? designed for job portals related services.
433,Rapido for bikes,This project is similar to rapido for bikes ? designed for transport related services.
434,Practo for doctors,This project is similar to practo for doctors ? designed for healthcare related services.
435,Cure.fit for wellness,This project is similar to cure.fit for wellness ? designed for healthcare related services.
436,Practo for doctors,This project is similar to practo for doctors ? designed for healthcare related services.
437,Naukri for jobs,This project is similar to naukri for jobs ? designed for job portals related services.
438,Shopify for stores,This project is similar to shopify for stores ? designed for e-commerce related services.
439,Amazon for shopping,This project is similar to amazon for shopping ? designed for e-commerce related services.
440,Rapido for bikes,This project is similar to rapido for bikes ? designed for transport related services.
441,Practo for doctors,This project is similar to practo for doctors ? designed for healthcare related services.
442,Indeed for hiring,This project is similar to indeed for hiring ? designed for job portals related services.
443,eBay for auctions,This project is similar to ebay for auctions ? designed for e-commerce related services.
444,Udemy for learning,This project is similar to udemy for learning ? designed for education related services.
445,Indeed for hiring,This project is similar to indeed for hiring ? designed for job portals related services.
446,Cure.fit for wellness,This project is similar to cure.fit for wellness ? designed for healthcare related services.
447,Monster for careers,This project is similar to monster for careers ? designed for job portals related services.
448,Byju?s for students,This project is similar to byju?s for students ? designed for education related services.
449,Amazon for shopping,This project is similar to amazon for shopping ? designed for e-commerce related services.
450,DoorDash for restaurants,This project is similar to doordash for restaurants ? designed for food delivery related services.
451,1mg for medicines,This project is similar to 1mg for medicines ? designed for healthcare related services.
452,Hotstar for streaming,This project is similar to hotstar for streaming ? designed for entertainment related services.
453,Netflix for movies,This project is similar to netflix for movies ? designed for entertainment related services.
454,Netflix for movies,This project is similar to netflix for movies ? designed for entertainment related services.
455,1mg for medicines,This project is similar to 1mg for medicines ? designed for healthcare related services.
456,Zomato for meals,This project is similar to zomato for meals ? designed for food delivery related services.
457,Unacademy for classes,This project is similar to unacademy for classes ? designed for education related services.
458,Coursera for online courses,This project is similar to coursera for online courses ? designed for education related services.
459,Amazon for shopping,This project is similar to amazon for shopping ? designed for e-commerce related services.
460,Flipkart for deals,This project is similar to flipkart for deals ? designed for e-commerce related services.
461,Amazon for shopping,This project is similar to amazon for shopping ? designed for e-commerce related services.
462,Ola for taxis,This project is similar to ola for taxis ? designed for transport related services.
463,Monster for careers,This project is similar to monster for careers ? designed for job portals related services.
464,Zomato for meals,This project is similar to zomato for meals ? designed for food delivery related services.
465,Grubhub for dishes,This project is similar to grubhub for dishes ? designed for food delivery related services.
466,Swiggy for food,This project is similar to swiggy for food ? designed for food delivery related services.
467,Grubhub for dishes,This project is similar to grubhub for dishes ? designed for food delivery related services.
468,Netflix for movies,This project is similar to netflix for movies ? designed for entertainment related services.
469,Practo for doctors,This project is similar to practo for doctors ? designed for healthcare related services.
470,Naukri for jobs,This project is similar to naukri for jobs ? designed for job portals related services.
471,Ola for taxis,This project is similar to ola for taxis ? designed for transport related services.
472,Zomato for meals,This project is similar to zomato for meals ? designed for food delivery related services.
473,Rapido for bikes,This project is similar to rapido for bikes ? designed for transport related services.
474,Netflix for movies,This project is similar to netflix for movies ? designed for entertainment related services.
475,Ola for taxis,This project is similar to ola for taxis ? designed for transport related services.
476,Swiggy for food,This project is similar to swiggy for food ? designed for food delivery related services.
477,Coursera for online courses,This project is similar to coursera for online courses ? designed for education related services.
478,Pharmeasy for prescriptions,This project is similar to pharmeasy for prescriptions ? designed for healthcare related services.
479,DoorDash for restaurants,This project is similar to doordash for restaurants ? designed for food delivery related services.
480,Shopify for stores,This project is similar to shopify for stores ? designed for e-commerce related services.
481,Pharmeasy for prescriptions,This project is similar to pharmeasy for prescriptions ? designed for healthcare related services.
482,BlaBlaCar for ridesharing,This project is similar to blablacar for ridesharing ? designed for transport related services.
483,Khan Academy for education,This project is similar to khan academy for education ? designed for education related services.
484,Grubhub for dishes,This project is similar to grubhub for dishes ? designed for food delivery related services.
485,Amazon for shopping,This project is similar to amazon for shopping ? designed for e-commerce related services.
486,Flipkart for deals,This project is similar to flipkart for deals ? designed for e-commerce related services.
487,eBay for auctions,This project is similar to ebay for auctions ? designed for e-commerce related services.
488,Lyft for commuting,This project is similar to lyft for commuting ? designed for transport related services.
489,Gaana for songs,This project is similar to gaana for songs ? designed for entertainment related services.
490,Indeed for hiring,This project is similar to indeed for hiring ? designed for job portals related services.
491,Unacademy for classes,This project is similar to unacademy for classes ? designed for education related services.
492,1mg for medicines,This project is similar to 1mg for medicines ? designed for healthcare related services.
493,Grubhub for dishes,This project is similar to grubhub for dishes ? designed for food delivery related services.
494,Netflix for movies,This project is similar to netflix for movies ? designed for entertainment related services.
495,BlaBlaCar for ridesharing,This project is similar to blablacar for ridesharing ? designed for transport related services.
496,1mg for medicines,This project is similar to 1mg for medicines ? designed for healthcare related services.
497,Swiggy for food,This project is similar to swiggy for food ? designed for food delivery related services.
498,DoorDash for restaurants,This project is similar to doordash for restaurants ? designed for food delivery related services.
499,Hotstar for streaming,This project is similar to hotstar for streaming ? designed for entertainment related services.
500,LinkedIn for professionals,This project is similar to linkedin for professionals ? designed for job portals related services.
501,DoorDash for restaurants,This project is similar to doordash for restaurants ? designed for food delivery related services.
502,DoorDash for restaurants,This project is similar to doordash for restaurants ? designed for food delivery related services.
503,BlaBlaCar for ridesharing,This project is similar to blablacar for ridesharing ? designed for transport related services.
504,Rapido for bikes,This project is similar to rapido for bikes ? designed for transport related services.
505,Flipkart for deals,This project is similar to flipkart for deals ? designed for e-commerce related services.
506,Uber for cars,This project is similar to uber for cars ? designed for transport related services.
507,Practo for doctors,This project is similar to practo for doctors ? designed for healthcare related services.
508,YouTube for videos,This project is similar to youtube for videos ? designed for entertainment related services.
509,YouTube for videos,This project is similar to youtube for videos ? designed for entertainment related services.
510,Indeed for hiring,This project is similar to indeed for hiring ? designed for job portals related services.
511,Swiggy for food,This project is similar to swiggy for food ? designed for food delivery related services.
512,Gaana for songs,This project is similar to gaana for songs ? designed for entertainment related services.
513,Naukri for jobs,This project is similar to naukri for jobs ? designed for job portals related services.
514,Monster for careers,This project is similar to monster for careers ? designed for job portals related services.
515,Deliveroo for takeaways,This project is similar to deliveroo for takeaways ? designed for food delivery related services.
516,Netflix for movies,This project is similar to netflix for movies ? designed for entertainment related services.
517,Zocdoc for appointments,This project is similar to zocdoc for appointments ? designed for healthcare related services.
518,Spotify for music,This project is similar to spotify for music ? designed for entertainment related services.
519,Practo for doctors,This project is similar to practo for doctors ? designed for healthcare related services.
520,Flipkart for deals,This project is similar to flipkart for deals ? designed for e-commerce related services.
521,Zomato for meals,This project is similar to zomato for meals ? designed for food delivery related services.
522,Uber for cars,This project is similar to uber for cars ? designed for transport related services.
523,Myntra for fashion,This project is similar to myntra for fashion ? designed for e-commerce related services.
524,1mg for medicines,This project is similar to 1mg for medicines ? designed for healthcare related services.
525,Cure.fit for wellness,This project is similar to cure.fit for wellness ? designed for healthcare related services.
526,Rapido for bikes,This project is similar to rapido for bikes ? designed for transport related services.
527,Deliveroo for takeaways,This project is similar to deliveroo for takeaways ? designed for food delivery related services.
528,Grubhub for dishes,This project is similar to grubhub for dishes ? designed for food delivery related services.
529,Zocdoc for appointments,This project is similar to zocdoc for appointments ? designed for healthcare related services.
530,Gaana for songs,This project is similar to gaana for songs ? designed for entertainment related services.
531,eBay for auctions,This project is similar to ebay for auctions ? designed for e-commerce related services.
532,BlaBlaCar for ridesharing,This project is similar to blablacar for ridesharing ? designed for transport related services.
533,Flipkart for deals,This project is similar to flipkart for deals ? designed for e-commerce related services.
534,Gaana for songs,This project is similar to gaana for songs ? designed for entertainment related services.
535,Glassdoor for companies,This project is similar to glassdoor for companies ? designed for job portals related services.
536,Zomato for meals,This project is similar to zomato for meals ? designed for food delivery related services.
537,Indeed for hiring,This project is similar to indeed for hiring ? designed for job portals related services.
538,Grubhub for dishes,This project is similar to grubhub for dishes ? designed for food delivery related services.
539,LinkedIn for professionals,This project is similar to linkedin for professionals ? designed for job portals related services.
540,Monster for careers,This project is similar to monster for careers ? designed for job portals related services.
541,DoorDash for restaurants,This project is similar to doordash for restaurants ? designed for food delivery related services.
542,Zocdoc for appointments,This project is similar to zocdoc for appointments ? designed for healthcare related services.
543,Lyft for commuting,This project is similar to lyft for commuting ? designed for transport related services.
544,Hotstar for streaming,This project is similar to hotstar for streaming ? designed for entertainment related services.
545,Ola for taxis,This project is similar to ola for taxis ? designed for transport related services.
546,YouTube for videos,This project is similar to youtube for videos ? designed for entertainment related services.
547,YouTube for videos,This project is similar to youtube for videos ? designed for entertainment related services.
548,Grubhub for dishes,This project is similar to grubhub for dishes ? designed for food delivery related services.
549,Netflix for movies,This project is similar to netflix for movies ? designed for entertainment related services.
550,Practo for doctors,This project is similar to practo for doctors ? designed for healthcare related services.
551,Flipkart for deals,This project is similar to flipkart for deals ? designed for e-commerce related services.
552,Byju?s for students,This project is similar to byju?s for students ? designed for education related services.
553,Flipkart for deals,This project is similar to flipkart for deals ? designed for e-commerce related services.
554,Hotstar for streaming,This project is similar to hotstar for streaming ? designed for entertainment related services.
555,Grubhub for dishes,This project is similar to grubhub for dishes ? designed for food delivery related services.
556,1mg for medicines,This project is similar to 1mg for medicines ? designed for healthcare related services.
557,Monster for careers,This project is similar to monster for careers ? designed for job portals related services.
558,Hotstar for streaming,This project is similar to hotstar for streaming ? designed for entertainment related services.
559,Ola for taxis,This project is similar to ola for taxis ? designed for transport related services.
560,Byju?s for students,This project is similar to byju?s for students ? designed for education related services.
561,Pharmeasy for prescriptions,This project is similar to pharmeasy for prescriptions ? designed for healthcare related services.
562,Unacademy for classes,This project is similar to unacademy for classes ? designed for education related services.
563,Lyft for commuting,This project is similar to lyft for commuting ? designed for transport related services.
564,Hotstar for streaming,This project is similar to hotstar for streaming ? designed for entertainment related services.
565,Hotstar for streaming,This project is similar to hotstar for streaming ? designed for entertainment related services.
566,Khan Academy for education,This project is similar to khan academy for education ? designed for education related services.
567,Glassdoor for companies,This project is similar to glassdoor for companies ? designed for job portals related services.
568,eBay for auctions,This project is similar to ebay for auctions ? designed for e-commerce related services.
569,Indeed for hiring,This project is similar to indeed for hiring ? designed for job portals related services.
570,eBay for auctions,This project is similar to ebay for auctions ? designed for e-commerce related services.
571,Zocdoc for appointments,This project is similar to zocdoc for appointments ? designed for healthcare related services.
572,Spotify for music,This project is similar to spotify for music ? designed for entertainment related services.
573,Glassdoor for companies,This project is similar to glassdoor for companies ? designed for job portals related services.
574,Practo for doctors,This project is similar to practo for doctors ? designed for healthcare related services.
575,Grubhub for dishes,This project is similar to grubhub for dishes ? designed for food delivery related services.
576,Coursera for online courses,This project is similar to coursera for online courses ? designed for education related services.
577,Lyft for commuting,This project is similar to lyft for commuting ? designed for transport related services.
578,Lyft for commuting,This project is similar to lyft for commuting ? designed for transport related services.
579,Khan Academy for education,This project is similar to khan academy for education ? designed for education related services.
580,Byju?s for students,This project is similar to byju?s for students ? designed for education related services.
581,Netflix for movies,This project is similar to netflix for movies ? designed for entertainment related services.
582,DoorDash for restaurants,This project is similar to doordash for restaurants ? designed for food delivery related services.
583,Naukri for jobs,This project is similar to naukri for jobs ? designed for job portals related services.
584,Shopify for stores,This project is similar to shopify for stores ? designed for e-commerce related services.
585,Zocdoc for appointments,This project is similar to zocdoc for appointments ? designed for healthcare related services.
586,eBay for auctions,This project is similar to ebay for auctions ? designed for e-commerce related services.
587,Pharmeasy for prescriptions,This project is similar to pharmeasy for prescriptions ? designed for healthcare related services.
588,Naukri for jobs,This project is similar to naukri for jobs ? designed for job portals related services.
589,Deliveroo for takeaways,This project is similar to deliveroo for takeaways ? designed for food delivery related services.
590,Ola for taxis,This project is similar to ola for taxis ? designed for transport related services.
591,Practo for doctors,This project is similar to practo for doctors ? designed for healthcare related services.
592,BlaBlaCar for ridesharing,This project is similar to blablacar for ridesharing ? designed for transport related services.
593,Rapido for bikes,This project is similar to rapido for bikes ? designed for transport related services.
594,Myntra for fashion,This project is similar to myntra for fashion ? designed for e-commerce related services.
595,Indeed for hiring,This project is similar to indeed for hiring ? designed for job portals related services.
596,Naukri for jobs,This project is similar to naukri for jobs ? designed for job portals related services.
597,Glassdoor for companies,This project is similar to glassdoor for companies ? designed for job portals related services.
598,eBay for auctions,This project is similar to ebay for auctions ? designed for e-commerce related services.
599,LinkedIn for professionals,This project is similar to linkedin for professionals ? designed for job portals related services.
600,Cure.fit for wellness,This project is similar to cure.fit for wellness ? designed for healthcare related services.
601,Khan Academy for education,This project is similar to khan academy for education ? designed for education related services.
602,Udemy for learning,This project is similar to udemy for learning ? designed for education related services.
603,Coursera for online courses,This project is similar to coursera for online courses ? designed for education related services.
604,Shopify for stores,This project is similar to shopify for stores ? designed for e-commerce related services.
605,Ola for taxis,This project is similar to ola for taxis ? designed for transport related services.
606,Gaana for songs,This project is similar to gaana for songs ? designed for entertainment related services.
607,eBay for auctions,This project is similar to ebay for auctions ? designed for e-commerce related services.
608,Shopify for stores,This project is similar to shopify for stores ? designed for e-commerce related services.
609,Unacademy for classes,This project is similar to unacademy for classes ? designed for education related services.
610,Monster for careers,This project is similar to monster for careers ? designed for job portals related services.
611,YouTube for videos,This project is similar to youtube for videos ? designed for entertainment related services.
612,Spotify for music,This project is similar to spotify for music ? designed for entertainment related services.
613,Lyft for commuting,This project is similar to lyft for commuting ? designed for transport related services.
614,Coursera for online courses,This project is similar to coursera for online courses ? designed for education related services.
615,Cure.fit for wellness,This project is similar to cure.fit for wellness ? designed for healthcare related services.
616,Hotstar for streaming,This project is similar to hotstar for streaming ? designed for entertainment related services.
617,Ola for taxis,This project is similar to ola for taxis ? designed for transport related services.
618,Amazon for shopping,This project is similar to amazon for shopping ? designed for e-commerce related services.
619,DoorDash for restaurants,This project is similar to doordash for restaurants ? designed for food delivery related services.
620,Practo for doctors,This project is similar to practo for doctors ? designed for healthcare related services.
621,Khan Academy for education,This project is similar to khan academy for education ? designed for education related services.
622,Spotify for music,This project is similar to spotify for music ? designed for entertainment related services.
623,Swiggy for food,This project is similar to swiggy for food ? designed for food delivery related services.
624,Spotify for music,This project is similar to spotify for music ? designed for entertainment related services.
625,Deliveroo for takeaways,This project is similar to deliveroo for takeaways ? designed for food delivery related services.
626,Myntra for fashion,This project is similar to myntra for fashion ? designed for e-commerce related services.
627,Udemy for learning,This project is similar to udemy for learning ? designed for education related services.
628,Monster for careers,This project is similar to monster for careers ? designed for job portals related services.
629,BlaBlaCar for ridesharing,This project is similar to blablacar for ridesharing ? designed for transport related services.
630,LinkedIn for professionals,This project is similar to linkedin for professionals ? designed for job portals related services.
631,Khan Academy for education,This project is similar to khan academy for education ? designed for education related services.
632,Swiggy for food,This project is similar to swiggy for food ? designed for food delivery related services.
633,Glassdoor for companies,This project is similar to glassdoor for companies ? designed for job portals related services.
634,Netflix for movies,This project is similar to netflix for movies ? designed for entertainment related services.
635,BlaBlaCar for ridesharing,This project is similar to blablacar for ridesharing ? designed for transport related services.
636,Netflix for movies,This project is similar to netflix for movies ? designed for entertainment related services.
637,Lyft for commuting,This project is similar to lyft for commuting ? designed for transport related services.
638,Pharmeasy for prescriptions,This project is similar to pharmeasy for prescriptions ? designed for healthcare related services.
639,Myntra for fashion,This project is similar to myntra for fashion ? designed for e-commerce related services.
640,Gaana for songs,This project is similar to gaana for songs ? designed for entertainment related services.
641,eBay for auctions,This project is similar to ebay for auctions ? designed for e-commerce related services.
642,Swiggy for food,This project is similar to swiggy for food ? designed for food delivery related services.
643,LinkedIn for professionals,This project is similar to linkedin for professionals ? designed for job portals related services.
644,Coursera for online courses,This project is similar to coursera for online courses ? designed for education related services.
645,Naukri for jobs,This project is similar to naukri for jobs ? designed for job portals related services.
646,Netflix for movies,This project is similar to netflix for movies ? designed for entertainment related services.
647,Uber for cars,This project is similar to uber for cars ? designed for transport related services.
648,Cure.fit for wellness,This project is similar to cure.fit for wellness ? designed for healthcare related services.
649,Practo for doctors,This project is similar to practo for doctors ? designed for healthcare related services.
650,eBay for auctions,This project is similar to ebay for auctions ? designed for e-commerce related services.
651,1mg for medicines,This project is similar to 1mg for medicines ? designed for healthcare related services.
652,YouTube for videos,This project is similar to youtube for videos ? designed for entertainment related services.
653,Flipkart for deals,This project is similar to flipkart for deals ? designed for e-commerce related services.
654,Unacademy for classes,This project is similar to unacademy for classes ? designed for education related services.
655,Lyft for commuting,This project is similar to lyft for commuting ? designed for transport related services.
656,Shopify for stores,This project is similar to shopify for stores ? designed for e-commerce related services.
657,Cure.fit for wellness,This project is similar to cure.fit for wellness ? designed for healthcare related services.
658,Shopify for stores,This project is similar to shopify for stores ? designed for e-commerce related services.
659,Uber for cars,This project is similar to uber for cars ? designed for transport related services.
660,Cure.fit for wellness,This project is similar to cure.fit for wellness ? designed for healthcare related services.
661,LinkedIn for professionals,This project is similar to linkedin for professionals ? designed for job portals related services.
662,Khan Academy for education,This project is similar to khan academy for education ? designed for education related services.
663,Indeed for hiring,This project is similar to indeed for hiring ? designed for job portals related services.
664,Ola for taxis,This project is similar to ola for taxis ? designed for transport related services.
665,DoorDash for restaurants,This project is similar to doordash for restaurants ? designed for food delivery related services.
666,Unacademy for classes,This project is similar to unacademy for classes ? designed for education related services.
667,Deliveroo for takeaways,This project is similar to deliveroo for takeaways ? designed for food delivery related services.
668,Zomato for meals,This project is similar to zomato for meals ? designed for food delivery related services.
669,Pharmeasy for prescriptions,This project is similar to pharmeasy for prescriptions ? designed for healthcare related services.
670,Udemy for learning,This project is similar to udemy for learning ? designed for education related services.
671,Lyft for commuting,This project is similar to lyft for commuting ? designed for transport related services.
672,Unacademy for classes,This project is similar to unacademy for classes ? designed for education related services.
673,Udemy for learning,This project is similar to udemy for learning ? designed for education related services.
674,BlaBlaCar for ridesharing,This project is similar to blablacar for ridesharing ? designed for transport related services.
675,Gaana for songs,This project is similar to gaana for songs ? designed for entertainment related services.
676,Swiggy for food,This project is similar to swiggy for food ? designed for food delivery related services.
677,Zomato for meals,This project is similar to zomato for meals ? designed for food delivery related services.
678,Swiggy for food,This project is similar to swiggy for food ? designed for food delivery related services.
679,1mg for medicines,This project is similar to 1mg for medicines ? designed for healthcare related services.
680,Spotify for music,This project is similar to spotify for music ? designed for entertainment related services.
681,Khan Academy for education,This project is similar to khan academy for education ? designed for education related services.
682,Amazon for shopping,This project is similar to amazon for shopping ? designed for e-commerce related services.
683,Lyft for commuting,This project is similar to lyft for commuting ? designed for transport related services.
684,Flipkart for deals,This project is similar to flipkart for deals ? designed for e-commerce related services.
685,Spotify for music,This project is similar to spotify for music ? designed for entertainment related services.
686,Swiggy for food,This project is similar to swiggy for food ? designed for food delivery related services.
687,Byju?s for students,This project is similar to byju?s for students ? designed for education related services.
688,Swiggy for food,This project is similar to swiggy for food ? designed for food delivery related services.
689,YouTube for videos,This project is similar to youtube for videos ? designed for entertainment related services.
690,Myntra for fashion,This project is similar to myntra for fashion ? designed for e-commerce related services.
691,Amazon for shopping,This project is similar to amazon for shopping ? designed for e-commerce related services.
692,YouTube for videos,This project is similar to youtube for videos ? designed for entertainment related services.
693,Amazon for shopping,This project is similar to amazon for shopping ? designed for e-commerce related services.
694,Hotstar for streaming,This project is similar to hotstar for streaming ? designed for entertainment related services.
695,Hotstar for streaming,This project is similar to hotstar for streaming ? designed for entertainment related services.
696,Netflix for movies,This project is similar to netflix for movies ? designed for entertainment related services.
697,Rapido for bikes,This project is similar to rapido for bikes ? designed for transport related services.
698,YouTube for videos,This project is similar to youtube for videos ? designed for entertainment related services.
699,Netflix for movies,This project is similar to netflix for movies ? designed for entertainment related services.
700,Spotify for music,This project is similar to spotify for music ? designed for entertainment related services.
701,Practo for doctors,This project is similar to practo for doctors ? designed for healthcare related services.
702,Pharmeasy for prescriptions,This project is similar to pharmeasy for prescriptions ? designed for healthcare related services.
703,Unacademy for classes,This project is similar to unacademy for classes ? designed for education related services.
704,Shopify for stores,This project is similar to shopify for stores ? designed for e-commerce related services.
705,Pharmeasy for prescriptions,This project is similar to pharmeasy for prescriptions ? designed for healthcare related services.
706,Myntra for fashion,This project is similar to myntra for fashion ? designed for e-commerce related services.
707,Byju?s for students,This project is similar to byju?s for students ? designed for education related services.
708,Practo for doctors,This project is similar to practo for doctors ? designed for healthcare related services.
709,Hotstar for streaming,This project is similar to hotstar for streaming ? designed for entertainment related services.
710,Lyft for commuting,This project is similar to lyft for commuting ? designed for transport related services.
711,Indeed for hiring,This project is similar to indeed for hiring ? designed for job portals related services.
712,1mg for medicines,This project is similar to 1mg for medicines ? designed for healthcare related services.
713,LinkedIn for professionals,This project is similar to linkedin for professionals ? designed for job portals related services.
714,Indeed for hiring,This project is similar to indeed for hiring ? designed for job portals related services.
715,Spotify for music,This project is similar to spotify for music ? designed for entertainment related services.
716,Udemy for learning,This project is similar to udemy for learning ? designed for education related services.
717,Ola for taxis,This project is similar to ola for taxis ? designed for transport related services.
718,Deliveroo for takeaways,This project is similar to deliveroo for takeaways ? designed for food delivery related services.
719,Grubhub for dishes,This project is similar to grubhub for dishes ? designed for food delivery related services.
720,Khan Academy for education,This project is similar to khan academy for education ? designed for education related services.
721,Amazon for shopping,This project is similar to amazon for shopping ? designed for e-commerce related services.
722,Netflix for movies,This project is similar to netflix for movies ? designed for entertainment related services.
723,eBay for auctions,This project is similar to ebay for auctions ? designed for e-commerce related services.
724,Cure.fit for wellness,This project is similar to cure.fit for wellness ? designed for healthcare related services.
725,Naukri for jobs,This project is similar to naukri for jobs ? designed for job portals related services.
726,BlaBlaCar for ridesharing,This project is similar to blablacar for ridesharing ? designed for transport related services.
727,Gaana for songs,This project is similar to gaana for songs ? designed for entertainment related services.
728,Lyft for commuting,This project is similar to lyft for commuting ? designed for transport related services.
729,1mg for medicines,This project is similar to 1mg for medicines ? designed for healthcare related services.
730,Ola for taxis,This project is similar to ola for taxis ? designed for transport related services.
731,Pharmeasy for prescriptions,This project is similar to pharmeasy for prescriptions ? designed for healthcare related services.
732,Udemy for learning,This project is similar to udemy for learning ? designed for education related services.
733,YouTube for videos,This project is similar to youtube for videos ? designed for entertainment related services.
734,Indeed for hiring,This project is similar to indeed for hiring ? designed for job portals related services.
735,Spotify for music,This project is similar to spotify for music ? designed for entertainment related services.
736,Hotstar for streaming,This project is similar to hotstar for streaming ? designed for entertainment related services.
737,Byju?s for students,This project is similar to byju?s for students ? designed for education related services.
738,eBay for auctions,This project is similar to ebay for auctions ? designed for e-commerce related services.
739,Lyft for commuting,This project is similar to lyft for commuting ? designed for transport related services.
740,Myntra for fashion,This project is similar to myntra for fashion ? designed for e-commerce related services.
741,Ola for taxis,This project is similar to ola for taxis ? designed for transport related services.
742,eBay for auctions,This project is similar to ebay for auctions ? designed for e-commerce related services.
743,Shopify for stores,This project is similar to shopify for stores ? designed for e-commerce related services.
744,Zomato for meals,This project is similar to zomato for meals ? designed for food delivery related services.
745,Deliveroo for takeaways,This project is similar to deliveroo for takeaways ? designed for food delivery related services.
746,Lyft for commuting,This project is similar to lyft for commuting ? designed for transport related services.
747,Cure.fit for wellness,This project is similar to cure.fit for wellness ? designed for healthcare related services.
748,Zocdoc for appointments,This project is similar to zocdoc for appointments ? designed for healthcare related services.
749,YouTube for videos,This project is similar to youtube for videos ? designed for entertainment related services.
750,YouTube for videos,This project is similar to youtube for videos ? designed for entertainment related services.
751,Spotify for music,This project is similar to spotify for music ? designed for entertainment related services.
752,Netflix for movies,This project is similar to netflix for movies ? designed for entertainment related services.
753,LinkedIn for professionals,This project is similar to linkedin for professionals ? designed for job portals related services.
754,Netflix for movies,This project is similar to netflix for movies ? designed for entertainment related services.
755,Myntra for fashion,This project is similar to myntra for fashion ? designed for e-commerce related services.
756,LinkedIn for professionals,This project is similar to linkedin for professionals ? designed for job portals related services.
757,Pharmeasy for prescriptions,This project is similar to pharmeasy for prescriptions ? designed for healthcare related services.
758,Amazon for shopping,This project is similar to amazon for shopping ? designed for e-commerce related services.
759,Byju?s for students,This project is similar to byju?s for students ? designed for education related services.
760,Udemy for learning,This project is similar to udemy for learning ? designed for education related services.
761,Ola for taxis,This project is similar to ola for taxis ? designed for transport related services.
762,Amazon for shopping,This project is similar to amazon for shopping ? designed for e-commerce related services.
763,Indeed for hiring,This project is similar to indeed for hiring ? designed for job portals related services.
764,Cure.fit for wellness,This project is similar to cure.fit for wellness ? designed for healthcare related services.
